강좌검색,,,,,,,,,,,,,,,,,,,,,
" 년도 : 2022학년도,   학기 : 1학기,   교양영역 : 전체,   상위영역 : 전체,   이수과정 : 전체,   학년 : 전체,   개설대학 : 전체,   개설학과 : 전체,   개설전공 : 전체,   수업진행형태 : 전체,   성적부여형태 : 전체",,,,,,,,,,,,,,,,,,,,,
교과구분,개설대학,개설학과,이수과정,학년,교과목번호,강좌번호,교과목명,부제명,학점,강의,실습,수업교시,수업형태,"강의실(동-호)(#연건, *평창)",주담당교수,장바구니신청,정원,수강신청인원,비고,강의언어,개설상태
전선,농업생명과학대학,농경제사회학부,학사,2학년,M2649.000600,001,개발경제학과 농업,,3,3,0,목(09:00~11:50),이론,200-1012,이종욱,11,50 (50),0,,한국어,설강
전선,간호대학,간호학과,석박사통합,1학년,M1991.000700,001,간호자료통계처리개론,,3,3,0,목(13:00~15:50),이론,#12-408,허익수,4,30 (30),0,,한국어,설강
전선,인문대학,동양사학과,학사,1학년,100.138,001,개관일본사,,3,3,0,월(09:30~12:20),이론,14-522,박수철,11,20 (20),0,,한국어,설강
전필,간호대학,간호학과,학사,2학년,811.210,001,간호통계학,,2,2,0,월(10:00~11:50),이론,#13-226,허익수,2,70 (70),0,,한국어,설강
전선,간호대학,간호학과,석박사통합,1학년,811.707,001,간호이론분석,,3,3,0,화(16:00~18:50),이론,#12-408,김성재,2,30 (30),0,간호이론총론(811.518) 이수 후 수강신청 가능,한국어,설강
전선,의과대학,의과학과,석박사통합,1학년,806.513A,001,감염면역,분자세포바이러스학,3,3,0,금(17:00~19:50),이론,,김동현,0,10 (10),0,강의실은 의과대학 홈페이지 공지사항 '대학원 개설교과목 리스트' 참조,한국어,설강
전선,간호대학,간호학과,석박사통합,1학년,811.518,001,간호이론총론,,3,3,0,화(09:00~11:50),이론,#12-408,강자현,1,25 (25),0,ⓔ,영어,설강
전필,치의학대학원,치의학과,석사,2학년,861.601,001,감염방지,,1,16,0,,,,KIM RYAN JIN YOUNG(김진영),1,100 (100),0,,한국어,설강
전선,자연과학대학,물리·천문학부,학사,4학년,3345.419,001,개인천문연구,,3,3,0,화(14:00~15:15)/목(14:00~15:15),이론/이론,19-206/19-206,우종학,1,40 (40),0,,한국어,설강
전선,미술대학,공예과,학사,3학년,6123.4109,001,개별연구 및 세미나 1,,3,2,2,목(09:00~10:50)/목(11:00~12:50),이론/실습,52-1-201/52-1-201,,1,15 (15),0,,한국어,설강
전선,국제대학원,국제학과,석사,1학년,M3459.000100,001,개발원조사업의 수행과 평가,,3,2,2,,,,김종섭,1,25 (25),0,"ⓔ상호인정: 개발, 협력, 통상 또는 지역학",영어,설강
전선,법학전문대학원,법학과,석박사통합,2학년,931.862,001,개별적 근로관계법,,3,3,0,화(17:00~18:15)/목(17:00~18:15),이론/이론,17-108/17-108,최석환,5,0,0,,한국어,설강
전선,사회과학대학,경제학부,석박사통합,0,M1314.002400,001,거시경제학 최근 동향,거시 경제 세미나 1,3,3,0,화(17:00~18:15)/목(17:00~18:15),이론/이론,16-655/16-655,박예나,4,24 (24),0,,한국어,설강
전선,보건대학원,보건학과,석박사통합,0,M2072.000200,002,거시보건경제세미나,,3,3,0,화(18:30~21:20),이론,221-202,이태진,2,20 (20),0,,한국어,설강
전선,보건대학원,보건학과,석사,0,M2059.000100,002,건강정책의 정치분석,,3,3,0,수(18:30~21:20),이론,221-202,김창엽,4,20 (20),0,,한국어,설강
전선,보건대학원,보건학과,석사,0,902.517B,001,건강보장론,,3,3,0,화(14:00~16:50),이론,221-202,김창엽,1,50 (50),0,,한국어,설강
전선,사회과학대학,경제학부,석박사통합,0,212.705,001,거시경제학특수연구,경기변동 및 비동질적 경제주체 모형 연구,3,3,0,수(14:00~16:50),이론,101-230,장용성,5,30 (30),0,,한국어,설강
전선,사범대학,체육교육과,학사,3학년,722.357,001,건강운동실험,,2,0,4,,,,문효열,0,30 (30),0,,한국어,설강
교양,사범대학,체육교육과,학사,1학년,051.029,001,건강과 삶,,1,1,0,,,,,3,30 (21),0,,한국어,설강
전선,사범대학,체육교육과,학사,2학년,722.244A,001,건강교육,,3,3,0,,,,,2,40 (40),0,,한국어,설강
전선,음악대학,기악과,박사,1학년,M2183.001000,001,건반악기의 역사주의 연주 실제 1,,3,3,0,수(15:00~17:50)/수(17:00~17:50),이론/실습,54-212/49-123,오주희,0,20 (20),0,,한국어,설강
전필,공과대학,건축학과,학사,3학년,4013.205,001,건물열에너지이론,,3,3,0,화(15:30~16:45)/목(15:30~16:45),이론/이론,39-409/39-409,박철수,8,40 (40),0,ⓔ,영어,설강
전필,공과대학,건축학과,학사,5학년,4012.511A,001,건물시스템,,3,3,0,화(10:00~12:50),이론,39-B116,심형섭,7,40 (40),0,,한국어,설강
전선,공과대학,건축학과,학사,4학년,4013.408,001,건설경영,,3,3,0,월(10:00~12:50),이론,39-B117,,10,40 (40),0,,한국어,설강
전선,음악대학,작곡과,학사,1학년,650.1289,001,건반화성,,1,1,1,,,,신지수,1,18 (18),0,"음악대학 외 수강불허/정원외신청, 수강취소 불허/피아노,이론전공 4개학기 반복이수 필수",한국어,설강
전선,음악대학,작곡과,학사,1학년,650.1289,003,건반화성,,1,1,1,,,,Redmond Jared,0,18 (18),0,"음악대학 외 수강불허/정원외신청, 수강취소 불허/피아노,이론전공 4개학기 반복이수 필수",한국어,설강
전선,음악대학,작곡과,학사,1학년,650.1289,002,건반화성,,1,1,1,,,,김새암,0,18 (18),0,"음악대학 외 수강불허/정원외신청, 수강취소 불허/피아노,이론전공 4개학기 반복이수 필수",한국어,설강
전선,음악대학,작곡과,학사,1학년,650.1289,004,건반화성,,1,1,1,,,,문종인,0,18 (18),0,"음악대학 외 수강불허/정원외신청, 수강취소 불허/피아노,이론전공 4개학기 반복이수 필수",한국어,설강
전선,사범대학,체육교육과,학사,1학년,722.402A,001,건강체조,,1,0,2,,,,김종호,0,30 (30),0,,한국어,설강
전선,공과대학,건설환경공학부,석박사통합,0,M1586.004000,001,건설환경 공학글쓰기와 발표 1,,3,3,0,금(14:00~16:50),이론,35-431,구수현,2,10 (10),0,타과생 수강불허,한국어,설강
